janes.news.rtvslo.335696.752.1.t2	janes.news.rtvslo.335696.752.1.2	#30
tid.519845808175591424.2.t2	tid.519845808175591424.2.2	#2982
tid.317385286738919424.3.t9	tid.317385286738919424.3.9.r1	#3023
janes.blog.publishwall.2427.9.1.t5	janes.blog.publishwall.2427.9.1.5	#3085
tid.515485536702976000.1.t8	tid.515485536702976000.1.8	#3134
tid.405084890548273152.1.t4	tid.405084890548273152.1.4	#3159
tid.405084890548273152.2.t14	tid.405084890548273152.2.14	#3175
tid.310639761742245888.1.t9	tid.310639761742245888.1.9	#3215
tid.370164739244302336.1.t8	tid.370164739244302336.1.8	#3283
janes.blog.rtvslo.20293.4.3.t6	janes.blog.rtvslo.20293.4.3.6	#3329
tid.410168064525598720.1.t5	tid.410168064525598720.1.5	#3397
janes.forum.medovernet.6811889.4.t6	janes.forum.medovernet.6811889.4.5.r2	#3523
janes.news.reporter.14359.4.1.t6	janes.news.reporter.14359.4.1.6	#3563
tid.539473196249268228.2.t2	tid.539473196249268228.2.2.r1	#3573
tid.301030770183651328.3.t6	tid.301030770183651328.3.6	#3619
janes.forum.medovernet.9834484.1.t21	janes.forum.medovernet.9834484.1.20	#3677
tid.275986941504258049.2.t1	tid.275986941504258049.2.1	#3701
janes.forum.medovernet.674393.2.t25	janes.forum.medovernet.674393.2.25	#3779
janes.news.mladina.110492.1.1.t2	janes.news.mladina.110492.1.1.2	#3822
janes.news.mladina.110492.1.2.t2	janes.news.mladina.110492.1.2.2	#3836
tid.364441920007065600.1.t4	tid.364441920007065600.1.4	#3874
tid.361441982989615104.2.t8	tid.361441982989615104.2.8	#3916
janes.forum.medovernet.7181739.1.t8	janes.forum.medovernet.7181739.1.8	#3954
janes.forum.medovernet.3794653.1.t3	janes.forum.medovernet.3794653.1.3	#4087
tid.468744238524813313.2.t7	tid.468744238524813313.2.7	#4342
tid.487187223037882368.3.t2	tid.487187223037882368.3.2	#4549
tid.347666335171489792.1.t2	tid.347666335171489792.1.2	#4572
tid.379713615693381632.1.t9	tid.379713615693381632.1.9	#4636
tid.379713615693381632.2.t3	tid.379713615693381632.2.3.r1	#4658
tid.374415209382694912.3.t5	tid.374415209382694912.3.5	#4691
tid.411091904764186624.1.t7	tid.411091904764186624.1.7	#4735
tid.343763873142276097.2.t4	tid.343763873142276097.2.4	#4859
tid.511401619087699968.1.t17	tid.511401619087699968.1.17	#4912
tid.511401619087699968.2.t2	tid.511401619087699968.2.2	#4916
tid.485543325404262400.1.t5	tid.485543325404262400.1.5	#5051
tid.532456417161404417.1.t3	tid.532456417161404417.1.3	#5108
tid.532456417161404417.3.t7	tid.532456417161404417.3.7	#5127
tid.521360942291230720.1.t4	tid.521360942291230720.1.4	#5264
tid.521360942291230720.3.t4	tid.521360942291230720.3.4	#5279
tid.482249908540682240.2.t10	tid.482249908540682240.2.10	#5397
janes.forum.medovernet.5756272.1.t6	janes.forum.medovernet.5756272.1.6	#5480
tid.518093082567643136.2.t2	tid.518093082567643136.2.2	#5580
tid.345605600702509056.1.t11	tid.345605600702509056.1.11.r1	#5777
tid.565180090813009920.2.t12	tid.565180090813009920.2.11	#5955
janes.news.rtvslo.310289.136.2.t5	janes.news.rtvslo.310289.136.2.5	#6115
janes.blog.rtvslo.18120.10.1.t11	janes.blog.rtvslo.18120.10.1.11	#6156
janes.blog.publishwall.15066.3.1.t2	janes.blog.publishwall.15066.3.1.2	#6258
janes.forum.kvarkadabra.13.4034.46113.1.t11	janes.forum.kvarkadabra.13.4034.46113.1.11	#6272
tid.514009705027764224.1.t6	tid.514009705027764224.1.6	#6282
tid.514009705027764224.3.t16	tid.514009705027764224.3.16	#6307
tid.433586184967553026.1.t9	tid.433586184967553026.1.9	#6433
tid.418653601376899074.1.t4	tid.418653601376899074.1.4	#6456
janes.forum.avtomobilizem.8.71791.1222567.1.t3	janes.forum.avtomobilizem.8.71791.1222567.1.3	#6507
janes.forum.avtomobilizem.8.71791.1222567.1.t10	janes.forum.avtomobilizem.8.71791.1222567.1.10	#6514
janes.blog.rtvslo.16035.29.1.t2	janes.blog.rtvslo.16035.29.1.2	#6629
tid.465862049751629824.4.t2	tid.465862049751629824.4.2	#6949
tid.387131559033470976.5.t1	tid.387131559033470976.5.1	#7087
tid.382107427782406144.1.t9	tid.382107427782406144.1.9	#7193
tid.382107427782406144.3.t5	tid.382107427782406144.3.5	#7204
tid.290863783491018752.2.t2	tid.290863783491018752.2.2.r1	#7315
tid.355674971953053698.2.t2	tid.355674971953053698.2.2	#7339
tid.355674971953053698.2.t22	tid.355674971953053698.2.22	#7359
tid.326040261589344256.2.t6	tid.326040261589344256.2.6	#7608
janes.news.rtvslo.241307.61.3.t1	janes.news.rtvslo.241307.61.3.1	#7665
tid.484042707963486208.1.t6	tid.484042707963486208.1.6	#7684
janes.blog.rtvslo.18289.8.2.t2	janes.blog.rtvslo.18289.8.2.2	#7707
tid.393060923499634688.3.t6	tid.393060923499634688.3.6.r1	#8019
janes.blog.publishwall.13886.1.1.t2	janes.blog.publishwall.13886.1.1.2	#8109
tid.545142928902201344.1.t8	tid.545142928902201344.1.8	#8183
tid.545142928902201344.3.t2	tid.545142928902201344.3.2	#8196
tid.485427016704196608.1.t5	tid.485427016704196608.1.5	#8401
tid.485427016704196608.2.t2	tid.485427016704196608.2.2	#8407
tid.485427016704196608.3.t2	tid.485427016704196608.3.2	#8419
tid.399187858654629888.2.t9	tid.399187858654629888.2.9	#8786
tid.399187858654629888.2.t11	tid.399187858654629888.2.11.r1	#8788
tid.348899189733855233.1.t10	tid.348899189733855233.1.10	#8881
tid.348899189733855233.2.t14	tid.348899189733855233.2.14	#8897
tid.521617563026219008.1.t7	tid.521617563026219008.1.7	#8907
tid.466851860503343104.1.t11	tid.466851860503343104.1.11	#9051
janes.forum.kvarkadabra.7.1461.14453.2.t9	janes.forum.kvarkadabra.7.1461.14453.2.9	#9150
tid.413805008501485568.2.t15	tid.413805008501485568.2.15	#9491
tid.413805008501485568.3.t2	tid.413805008501485568.3.2	#9499
tid.519822580400652288.1.t19	tid.519822580400652288.1.19	#9522
tid.519822580400652288.1.t34	tid.519822580400652288.1.34	#9537
tid.501774448127934465.1.t9	tid.501774448127934465.1.9	#9555
tid.380965979821318144.1.t3	tid.380965979821318144.1.3	#9605
janes.news.mladina.109076.3.4.t5	janes.news.mladina.109076.3.4.5	#9677
tid.393102412363608064.2.t13	tid.393102412363608064.2.13	#9732
janes.forum.kvarkadabra.23.1291.20433.1.t4	janes.forum.kvarkadabra.23.1291.20433.1.4	#9838
tid.449330087062929408.1.t7	tid.449330087062929408.1.7.r1	#9850
tid.539688303768137728.2.t3	tid.539688303768137728.2.3	#9909
tid.539688303768137728.4.t12	tid.539688303768137728.4.12	#9930
tid.207590742334504960.2.t18	tid.207590742334504960.2.18	#10015
tid.535011594275946496.4.t7	tid.535011594275946496.4.7	#10093
janes.blog.rtvslo.127.9.5.t3	janes.blog.rtvslo.127.9.5.3	#10120
janes.blog.rtvslo.127.9.6.t4	janes.blog.rtvslo.127.9.6.3	#10127
janes.news.mladina.144339.1.2.t2	janes.news.mladina.144339.1.2.2	#10169
janes.blog.rtvslo.9663.2.1.t5	janes.blog.rtvslo.9663.2.1.5	#10256
janes.forum.medovernet.7632420.3.t2	janes.forum.medovernet.7632420.3.2	#10396
tid.485711331551899648.3.t3	tid.485711331551899648.3.3.r1	#10445
janes.forum.kvarkadabra.23.1119.10418.3.t5	janes.forum.kvarkadabra.23.1119.10418.3.5	#10805
tid.485369325705244672.3.t3	tid.485369325705244672.3.3.r1	#11073
tid.440154776957755393.4.t3	tid.440154776957755393.4.3	#11162
janes.forum.medovernet.9116584.2.t13	janes.forum.medovernet.9116584.2.13	#11190
tid.403111455072866304.1.t13	tid.403111455072866304.1.13	#11245
tid.403111455072866304.3.t1	tid.403111455072866304.3.1	#11258
tid.345189716339085312.4.t5	tid.345189716339085312.4.5	#11431
tid.558722893916684288.4.t3	tid.558722893916684288.4.3	#11556
tid.466206716661858304.2.t2	tid.466206716661858304.2.2	#11686
tid.513049769355517952.1.t10	tid.513049769355517952.1.10	#11701
tid.438787145537703936.2.t3	tid.438787145537703936.2.3	#11783
tid.350514492372815872.2.t6	tid.350514492372815872.2.6.r1	#11821
tid.544438169970950144.1.t11	tid.544438169970950144.1.11	#11847
janes.blog.rtvslo.14980.36.3.t14	janes.blog.rtvslo.14980.36.3.14	#11953
tid.319926638831886336.1.t8	tid.319926638831886336.1.8	#12256
tid.518752407007010816.2.t2	tid.518752407007010816.2.2	#12346
tid.430053661574963200.2.t2	tid.430053661574963200.2.2	#12437
janes.forum.avtomobilizem.4.61294.991256.2.t3	janes.forum.avtomobilizem.4.61294.991256.2.3.r1	#12475
tid.358164777635282944.1.t22	tid.358164777635282944.1.22	#12520
tid.358164777635282944.1.t27	tid.358164777635282944.1.27	#12525
tid.537199804531884032.2.t6	tid.537199804531884032.2.6	#12545
tid.558350990949511168.2.t7	tid.558350990949511168.2.7	#12680
tid.392287013384118272.1.t9	tid.392287013384118272.1.9	#12827
tid.350188193091555328.1.t11	tid.350188193091555328.1.11	#12907
janes.forum.medovernet.9236771.1.t10	janes.forum.medovernet.9236771.1.10	#12934
tid.390913315150770176.1.t3	tid.390913315150770176.1.3	#12960
janes.forum.avtomobilizem.25.55651.920690.1.t1	janes.forum.avtomobilizem.25.55651.920690.1.1	#13238
janes.news.rtvslo.339515.677.1.t2	janes.news.rtvslo.339515.677.1.2	#13303
tid.471698209535168512.2.t4	tid.471698209535168512.2.4	#13334
tid.380635887899385856.2.t2	tid.380635887899385856.2.2	#13444
tid.557943975240564738.1.t3	tid.557943975240564738.1.3	#13779
tid.306743146467979264.2.t10	tid.306743146467979264.2.10	#13978
tid.519182656438013952.1.t4	tid.519182656438013952.1.4	#14065
janes.forum.medovernet.8300628.1.t6	janes.forum.medovernet.8300628.1.6	#14202
janes.forum.avtomobilizem.20.7772.102852.1.t4	janes.forum.avtomobilizem.20.7772.102852.1.4	#14242
tid.281837902344892416.3.t3	tid.281837902344892416.3.3	#14314
tid.540215491621818369.2.t13	tid.540215491621818369.2.13	#14371
tid.540215491621818369.2.t25	tid.540215491621818369.2.25	#14383
tid.346717453470031872.1.t9	tid.346717453470031872.1.9	#14461
tid.565583869341347842.1.t9	tid.565583869341347842.1.9	#14485
janes.blog.rtvslo.21105.21.1.t8	janes.blog.rtvslo.21105.21.1.8	#14634
tid.346650603654631425.1.t21	tid.346650603654631425.1.21.r1	#14941
tid.486391967803523072.3.t8	tid.486391967803523072.3.8	#15001
tid.419206831487979520.2.t2	tid.419206831487979520.2.2	#15039
janes.forum.medovernet.9557000.2.t11	janes.forum.medovernet.9557000.2.11	#15123
tid.397033936380911616.1.t8	tid.397033936380911616.1.8	#15236
tid.397033936380911616.1.t22	tid.397033936380911616.1.22	#15250
tid.422368727947280384.1.t3	tid.422368727947280384.1.3	#15319
janes.news.rtvslo.123374.144.1.t2	janes.news.rtvslo.123374.144.1.2	#15374
janes.news.rtvslo.123374.144.1.t18	janes.news.rtvslo.123374.144.1.18	#15390
tid.484336543067570177.2.t1	tid.484336543067570177.2.1	#15476
tid.422382484752707585.1.t28	tid.422382484752707585.1.28	#15526
janes.news.reporter.27057.6.1.t7	janes.news.reporter.27057.6.1.7	#15694
janes.forum.kvarkadabra.22.5157.72367.2.t1	janes.forum.kvarkadabra.22.5157.72367.2.1	#15758
tid.385769416799305728.1.t3	tid.385769416799305728.1.3	#15773
tid.385769416799305728.1.t19	tid.385769416799305728.1.19	#15789
tid.540146983856799745.2.t13	tid.540146983856799745.2.13	#15923
tid.566605385881358336.2.t2	tid.566605385881358336.2.2	#16124
tid.435428858829889536.1.t18	tid.435428858829889536.1.18	#16166
janes.blog.publishwall.13267.14.1.t3	janes.blog.publishwall.13267.14.1.3	#16175
tid.471192297045233664.2.t2	tid.471192297045233664.2.2	#16220
tid.485410098035322881.2.t2	tid.485410098035322881.2.2	#16238
tid.560172693560262657.2.t2	tid.560172693560262657.2.2	#16310
tid.484675064852279296.1.t3	tid.484675064852279296.1.3	#16368
tid.437295745906253824.3.t1	tid.437295745906253824.3.1	#16426
janes.news.rtvslo.127176.214.1.t2	janes.news.rtvslo.127176.214.1.2	#16441
tid.461558400682573824.2.t7	tid.461558400682573824.2.6	#16466
janes.forum.kvarkadabra.27.5180.76359.2.t10	janes.forum.kvarkadabra.27.5180.76359.2.10	#16584
tid.355821195582640130.2.t5	tid.355821195582640130.2.5	#16643
janes.blog.publishwall.4860.17.3.t2	janes.blog.publishwall.4860.17.3.2	#16811
tid.389172782678167552.1.t24	tid.389172782678167552.1.24	#16993
tid.424861781409153024.1.t9	tid.424861781409153024.1.9	#17069
tid.424861781409153024.2.t6	tid.424861781409153024.2.6	#17080
tid.290738603951263744.3.t1	tid.290738603951263744.3.1	#17303
tid.419909577233432576.3.t7	tid.419909577233432576.3.7	#17380
janes.forum.medovernet.7385136.1.t2	janes.forum.medovernet.7385136.1.2	#17464
tid.334574594138718208.1.t2	tid.334574594138718208.1.2	#17656
janes.forum.medovernet.8514178.2.t3	janes.forum.medovernet.8514178.2.3	#17755
janes.forum.medovernet.8514178.3.t2	janes.forum.medovernet.8514178.3.2	#17776
tid.419400097668272128.1.t11	tid.419400097668272128.1.11.r1	#17967
tid.565280846413066241.1.t9	tid.565280846413066241.1.9	#18075
tid.554909069970923521.1.t2	tid.554909069970923521.1.2	#18132
janes.forum.medovernet.7206774.2.t2	janes.forum.medovernet.7206774.2.2	#18303
tid.450896392320724992.3.t13	tid.450896392320724992.3.12.r1	#18500
janes.forum.medovernet.7390217.1.t3	janes.forum.medovernet.7390217.1.3	#18686
tid.407869972619096064.2.t2	tid.407869972619096064.2.2	#18703
tid.372782910413103104.1.t18	tid.372782910413103104.1.18	#18814
tid.431534575840673792.2.t2	tid.431534575840673792.2.2	#18835
tid.431534575840673792.2.t9	tid.431534575840673792.2.9	#18842
tid.466179210248458240.1.t6	tid.466179210248458240.1.6	#18856
tid.439141177422778368.2.t3	tid.439141177422778368.2.3	#18901
tid.342048744612720640.5.t1	tid.342048744612720640.5.1	#18991
tid.349490856929140736.2.t3	tid.349490856929140736.2.3	#19008
tid.526830634862657536.1.t2	tid.526830634862657536.1.2	#19163
tid.526830634862657536.1.t7	tid.526830634862657536.1.7	#19168
tid.526830634862657536.2.t2	tid.526830634862657536.2.2	#19176
tid.415535060712816640.1.t6	tid.415535060712816640.1.6	#19532
tid.375580063514636288.2.t4	tid.375580063514636288.2.4	#19652
tid.522379966215098368.2.t5	tid.522379966215098368.2.5	#19769
tid.431904279084163072.3.t6	tid.431904279084163072.3.6	#19894
tid.388379309108260864.1.t4	tid.388379309108260864.1.4	#20042
tid.388379309108260864.1.t15	tid.388379309108260864.1.15	#20053
tid.388379309108260864.1.t18	tid.388379309108260864.1.17	#20055
tid.422817506735046656.1.t4	tid.422817506735046656.1.4	#20213
tid.530487068015988736.1.t9	tid.530487068015988736.1.9	#20246
tid.350328039214813184.1.t6	tid.350328039214813184.1.6	#20455
tid.391166282751815680.2.t4	tid.391166282751815680.2.4	#20614
janes.forum.avtomobilizem.20.17971.270107.1.t10	janes.forum.avtomobilizem.20.17971.270107.1.10	#20926
tid.372984769396477952.1.t2	tid.372984769396477952.1.2	#20935
tid.488038976465694720.2.t7	tid.488038976465694720.2.7	#21029
janes.news.rtvslo.297177.482.1.t8	janes.news.rtvslo.297177.482.1.8	#21221
janes.news.rtvslo.297177.482.3.t10	janes.news.rtvslo.297177.482.3.10	#21252
janes.blog.rtvslo.18836.17.2.t3	janes.blog.rtvslo.18836.17.2.3	#21443
tid.341502047662792704.1.t15	tid.341502047662792704.1.15	#21497
tid.431153227380178944.2.t5	tid.431153227380178944.2.5	#21650
tid.468761689522188288.1.t5	tid.468761689522188288.1.5	#21846
tid.478853732034428928.2.t14	tid.478853732034428928.2.14.r1	#21929
tid.375249978823675905.1.t15	tid.375249978823675905.1.15	#21949
tid.529557913627803648.4.t3	tid.529557913627803648.4.3	#22052
janes.blog.rtvslo.6440.9.1.t2	janes.blog.rtvslo.6440.9.1.2	#22229
tid.438330351401066496.3.t6	tid.438330351401066496.3.6	#22264
tid.432773594284711936.1.t3	tid.432773594284711936.1.3	#22329
janes.forum.avtomobilizem.4.4392.49720.1.t6	janes.forum.avtomobilizem.4.4392.49720.1.6	#22516
tid.504714059280035842.1.t3	tid.504714059280035842.1.3	#22554
tid.534765991159689216.1.t8	tid.534765991159689216.1.8	#22582
tid.534765991159689216.2.t9	tid.534765991159689216.2.9.r1	#22594
janes.news.rtvslo.335243.168.1.t15	janes.news.rtvslo.335243.168.1.15	#22707
tid.344348833465135104.1.t11	tid.344348833465135104.1.11	#22809
janes.blog.rtvslo.2576.38.1.t4	janes.blog.rtvslo.2576.38.1.4	#22829
tid.526309913568755712.1.t2	tid.526309913568755712.1.2	#22962
tid.526309913568755712.3.t4	tid.526309913568755712.3.4	#22984
janes.blog.rtvslo.324.4.3.t4	janes.blog.rtvslo.324.4.3.4	#23107
tid.435817990626357248.1.t9	tid.435817990626357248.1.9	#23270
tid.558193559997018112.5.t3	tid.558193559997018112.5.3	#23410
tid.385746081088151552.1.t5	tid.385746081088151552.1.5	#23567
tid.385746081088151552.1.t12	tid.385746081088151552.1.12.r1	#23574
tid.385746081088151552.2.t13	tid.385746081088151552.2.13	#23588
tid.539321752246308865.1.t6	tid.539321752246308865.1.6	#23598
tid.546646974024650752.3.t1	tid.546646974024650752.3.1	#23685
tid.564386548096172032.3.t1	tid.564386548096172032.3.1	#23760
tid.531519482775498752.2.t2	tid.531519482775498752.2.2	#23932
tid.512128158850895872.3.t2	tid.512128158850895872.3.2	#24058
janes.blog.rtvslo.970.5.2.t5	janes.blog.rtvslo.970.5.2.5	#24074
janes.forum.kvarkadabra.22.1345.13079.2.t10	janes.forum.kvarkadabra.22.1345.13079.2.10	#24094
tid.562701651447136257.1.t21	tid.562701651447136257.1.21	#24124
tid.377155342368792576.1.t3	tid.377155342368792576.1.3.r1	#24235
tid.489077730265563136.4.t5	tid.489077730265563136.4.5.r1	#24280
tid.534050822166810624.1.t9	tid.534050822166810624.1.9	#24297
tid.534050822166810624.2.t1	tid.534050822166810624.2.1.r1	#24305
tid.468468374134333440.3.t3	tid.468468374134333440.3.3	#24385
tid.525184146071883776.1.t3	tid.525184146071883776.1.3	#24407
tid.423833554418561025.2.t3	tid.423833554418561025.2.3	#24599
tid.562206613222981632.1.t21	tid.562206613222981632.1.21.r1	#24630
tid.484212849515175936.4.t3	tid.484212849515175936.4.3	#24704
tid.393546089355575296.2.t16	tid.393546089355575296.2.14	#24919
janes.forum.medovernet.2150036.3.t3	janes.forum.medovernet.2150036.3.3	#24933
tid.332026610733678592.1.t14	tid.332026610733678592.1.14	#25010
tid.332026610733678592.1.t19	tid.332026610733678592.1.19	#25015
janes.blog.rtvslo.12772.15.2.t3	janes.blog.rtvslo.12772.15.2.3	#25027
tid.451634655201329152.2.t2	tid.451634655201329152.2.2	#25102
janes.blog.rtvslo.4812.9.7.t4	janes.blog.rtvslo.4812.9.7.4	#25266
tid.501272754810028033.1.t7	tid.501272754810028033.1.7	#25353
tid.489025357656629250.2.t2	tid.489025357656629250.2.2	#25419
tid.371359141325201408.1.t8	tid.371359141325201408.1.8	#25440
janes.forum.medovernet.9369838.4.t27	janes.forum.medovernet.9369838.4.27	#25766
janes.forum.medovernet.8989928.3.t4	janes.forum.medovernet.8989928.3.4	#25819
tid.372588175119884289.1.t7	tid.372588175119884289.1.6	#25892
tid.545178301372055552.1.t4	tid.545178301372055552.1.4	#25978
tid.383982730121596928.3.t2	tid.383982730121596928.3.2	#26079
janes.news.mladina.162923.4.1.t6	janes.news.mladina.162923.4.1.6	#26154
tid.359634942726127616.2.t2	tid.359634942726127616.2.2	#26352
tid.539529254187573250.1.t15	tid.539529254187573250.1.15	#26388
tid.539529254187573250.2.t7	tid.539529254187573250.2.7	#26400
tid.484345788500570112.2.t2	tid.484345788500570112.2.2	#26642
tid.437663725047144448.1.t2	tid.437663725047144448.1.2	#26651
tid.436183004453814272.1.t1	tid.436183004453814272.1.1	#26679
janes.blog.publishwall.13434.18.2.t3	janes.blog.publishwall.13434.18.2.3	#26722
tid.453847057032544257.1.t11	tid.453847057032544257.1.11	#26812
tid.392271095773937664.1.t3	tid.392271095773937664.1.3	#26947
tid.392271095773937664.2.t7	tid.392271095773937664.2.7	#26967
tid.428762623124180992.1.t15	tid.428762623124180992.1.15	#27145
tid.539860546544500737.2.t5	tid.539860546544500737.2.5	#27225
tid.507516578301480961.2.t12	tid.507516578301480961.2.12	#27344
tid.397297769926258688.2.t1	tid.397297769926258688.2.1	#27451
tid.481690052465266688.1.t3	tid.481690052465266688.1.3	#27619
tid.332926213515522048.1.t9	tid.332926213515522048.1.9	#27726
tid.357460773972353024.1.t3	tid.357460773972353024.1.3	#27843
janes.blog.rtvslo.15490.13.1.t5	janes.blog.rtvslo.15490.13.1.5	#28153
tid.530266598700232705.1.t6	tid.530266598700232705.1.6	#28473
janes.blog.publishwall.2672.2.2.t2	janes.blog.publishwall.2672.2.2.2	#28528
janes.blog.publishwall.2672.2.3.t2	janes.blog.publishwall.2672.2.3.2	#28538
janes.blog.publishwall.2672.2.3.t9	janes.blog.publishwall.2672.2.3.9	#28545
janes.blog.publishwall.2672.2.4.t4	janes.blog.publishwall.2672.2.4.4	#28553
janes.blog.rtvslo.19076.16.1.t3	janes.blog.rtvslo.19076.16.1.3	#28635
tid.364692319921901570.2.t1	tid.364692319921901570.2.1	#28723
janes.news.mladina.152307.4.2.t2	janes.news.mladina.152307.4.2.2	#28832
janes.news.mladina.152307.4.2.t19	janes.news.mladina.152307.4.2.19	#28849
tid.167716151772712960.4.t14	tid.167716151772712960.4.14	#29193
tid.475747142146207744.1.t2	tid.475747142146207744.1.2	#29203
tid.344912841532403713.1.t13	tid.344912841532403713.1.13.r1	#29243
tid.344912841532403713.3.t2	tid.344912841532403713.3.2.r1	#29259
janes.forum.medovernet.8217640.1.t5	janes.forum.medovernet.8217640.1.5	#29439
tid.378639937387892736.2.t1	tid.378639937387892736.2.1	#29512
tid.378639937387892736.3.t2	tid.378639937387892736.3.2.r1	#29515
tid.378639937387892736.6.t9	tid.378639937387892736.6.9	#29532
janes.blog.rtvslo.8102.15.1.t6	janes.blog.rtvslo.8102.15.1.6	#29608
tid.524151415061876736.4.t1	tid.524151415061876736.4.1	#29884
tid.411271266608619520.1.t30	tid.411271266608619520.1.30	#30062
tid.406860874197245952.1.t3	tid.406860874197245952.1.3	#30154
janes.blog.rtvslo.3898.17.1.t2	janes.blog.rtvslo.3898.17.1.2	#30240
tid.548961249535729664.2.t4	tid.548961249535729664.2.4	#30285
tid.491181174447169538.3.t9	tid.491181174447169538.3.9	#30487
janes.blog.publishwall.3750.4.1.t2	janes.blog.publishwall.3750.4.1.2	#30699
tid.392916505794727936.1.t7	tid.392916505794727936.1.7	#30810
tid.392916505794727936.2.t2	tid.392916505794727936.2.2	#30813
tid.391256427043385344.1.t2	tid.391256427043385344.1.2	#30828
tid.391256427043385344.2.t7	tid.391256427043385344.2.7	#30853
tid.397079192451284992.2.t2	tid.397079192451284992.2.2	#30973
tid.397079192451284992.2.t6	tid.397079192451284992.2.6	#30977
janes.news.rtvslo.332456.221.1.t5	janes.news.rtvslo.332456.221.1.5	#31108
tid.478693220889931776.1.t23	tid.478693220889931776.1.23	#31300
tid.374534058354966528.1.t10	tid.374534058354966528.1.10	#31340
tid.327726852628172801.1.t2	tid.327726852628172801.1.2	#31402
tid.327726852628172801.1.t20	tid.327726852628172801.1.20	#31420
janes.forum.avtomobilizem.11.23488.347891.2.t3	janes.forum.avtomobilizem.11.23488.347891.2.3	#31516
tid.471764844191154176.1.t6	tid.471764844191154176.1.6	#31692
tid.435214686124912640.1.t5	tid.435214686124912640.1.5	#31748
tid.320750758960197632.3.t1	tid.320750758960197632.3.1	#31915
tid.155690095800885248.2.t4	tid.155690095800885248.2.4	#32004
janes.forum.medovernet.6690058.1.t23	janes.forum.medovernet.6690058.1.23	#32029
tid.551291898691072000.1.t5	tid.551291898691072000.1.5	#32179
tid.427232620532228096.2.t2	tid.427232620532228096.2.2	#32442
tid.348904393883664385.3.t1	tid.348904393883664385.3.1	#32486
janes.news.mladina.153408.20.4.t4	janes.news.mladina.153408.20.4.4	#32615
tid.396359116664602624.3.t2	tid.396359116664602624.3.2	#33130
janes.forum.medovernet.9777929.1.t2	janes.forum.medovernet.9777929.1.2	#33345
tid.437983327966859264.1.t15	tid.437983327966859264.1.15	#33425
tid.461436718940696576.4.t1	tid.461436718940696576.4.1	#33525
tid.356872852101791744.1.t2	tid.356872852101791744.1.2	#33538
tid.279121205255081984.1.t8	tid.279121205255081984.1.8	#33628
janes.forum.medovernet.8090971.1.t10	janes.forum.medovernet.8090971.1.10	#33708
tid.394055215269576704.2.t8	tid.394055215269576704.2.8	#33878
janes.forum.medovernet.7776845.2.t2	janes.forum.medovernet.7776845.2.2	#33968
tid.431427075883671552.2.t6	tid.431427075883671552.2.6	#34086
tid.448050009725210624.3.t4	tid.448050009725210624.3.4	#34154
tid.464474881439313920.3.t5	tid.464474881439313920.3.5	#34249
