# Mapping from JOS PoS to UD 2.0 PoS
# Kaja Dobrovoljc, Tomaž Erjavec, Simon Krek
# 2018-11-24
#
#Prio	Lemma	Category	Feats				Deps	->PoS-UD	#Comment
#-------------------------------------------------------------------------------------------------------
3	*	Noun		Type=common	*	NOUN
1	obse		Pronoun	Type=reflexive		*	PRON
1	on		Pronoun	Type=personal		*	PRON
1	oni		Pronoun	Type=demonstrative	*	PRON
1	onile		Pronoun	Type=demonstrative	*	PRON
1	podme		Pronoun	Type=personal		*	PRON
1	podse		Pronoun	Type=reflexive		*	PRON
1	pome		Pronoun	Type=personal		*	PRON
1	predme		Pronoun	Type=personal		*	PRON
1	predse		Pronoun	Type=reflexive		*	PRON
1	prenekaj	Pronoun	Type=indefinite		*	PRON
1	prenekdo	Pronoun	Type=indefinite		*	PRON
1	redkokdo	Pronoun	Type=indefinite		*	PRON
1	skozme		Pronoun	Type=personal		*	PRON
1	skozse		Pronoun	Type=reflexive		*	PRON
1	tadva		Pronoun	Type=demonstrative	*	PRON
1	teu		Pronoun	Type=personal		*	PRON
1	ti		Pronoun	Type=personal		*	PRON
1	un		Pronoun	Type=demonstrative	*	PRON
1	vame		Pronoun	Type=personal		*	PRON
1	zame		Pronoun	Type=personal		*	PRON
#New batch by Kaja
1	bogsigavedikakšen	Pronoun	Type=indefinite	*	DET
1	bogvedikateri	Pronoun	Type=indefinite		*	DET
1	bogvekakšen	Pronoun	Type=indefinite		*	DET
1	bogvekateri	Pronoun	Type=indefinite		*	DET
1	bogvekolik	Pronoun	Type=indefinite		*	DET
1	bogvekolikšen	Pronoun	Type=indefinite		*	DET
1	čigarkoli	Pronoun	Type=relative		*	DET
1	čigarsižebodi	Pronoun	Type=relative		*	DET
1	čigaver		Pronoun	Type=relative		*	DET
1	čigaverkoli	Pronoun	Type=relative		*	DET
1	čigavršen	Pronoun	Type=relative		*	DET
1	čigavršnji	Pronoun	Type=relative		*	DET
1	enaki		Pronoun	Type=indefinite		*	DET
1	enakšen		Pronoun	Type=indefinite		*	DET
1	kakošen		Pronoun	Type=interrogative	*	DET
1	kakov		Pronoun	Type=interrogative	*	DET
1	kakršensižebodi	Pronoun	Type=relative		*	DET
1	katerisibodi	Pronoun	Type=relative		*	DET
1	kdovekak	Pronoun	Type=indefinite		*	DET
1	kdovekakšen	Pronoun	Type=indefinite		*	DET
1	kdovekateri	Pronoun	Type=indefinite		*	DET
1	kdovekolik	Pronoun	Type=indefinite		*	DET
1	koji	Pronoun	Type=interrogative		*	DET
1	kolik	Pronoun	Type=indefinite			*	DET
1	koliker	Pronoun	Type=interrogative		*	DET
1	kolikršen	Pronoun	Type=relative		*	DET
1	malokak	Pronoun	Type=indefinite			*	DET
1	malokakšen	Pronoun	Type=indefinite		*	DET
1	marsičigav	Pronoun	Type=indefinite		*	DET
1	marsikak	Pronoun	Type=indefinite		*	DET
1	mnogokateri	Pronoun	Type=indefinite		*	DET
1	moj		Pronoun	Type=possessive		*	DET
1	najin		Pronoun	Type=possessive		*	DET
1	naš		Pronoun	Type=possessive		*	DET
1	nekakov		Pronoun	Type=indefinite		*	DET
1	nekolik		Pronoun	Type=indefinite		*	DET
1	nekolikšen	Pronoun	Type=indefinite		*	DET
1	nekolikšnji	Pronoun	Type=indefinite		*	DET
1	nekov		Pronoun	Type=indefinite		*	DET
1	nekšen		Pronoun	Type=indefinite		*	DET
1	nikak		Pronoun	Type=negative		*	DET
1	nikakšen	Pronoun	Type=negative		*	DET
1	nikogaršen	Pronoun	Type=negative		*	DET
1	nikogaršnji	Pronoun	Type=negative		*	DET
1	njegov		Pronoun	Type=possessive		*	DET
1	njen		Pronoun	Type=possessive		*	DET
1	njihen		Pronoun	Type=possessive		*	DET
1	njihnji		Pronoun	Type=possessive		*	DET
1	njihov		Pronoun	Type=possessive		*	DET
1	njun		Pronoun	Type=possessive		*	DET
1	obojen		Pronoun	Type=general		*	DET
1	premarsikateri	Pronoun	Type=indefinite		*	DET
1	redkokateri	Pronoun	Type=indefinite		*	DET
1	ta		Pronoun	Type=demonstrative	*	DET
1	taisti		Pronoun	Type=demonstrative	*	DET
1	tak		Pronoun	Type=demonstrative	*	DET
1	takisti		Pronoun	Type=demonstrative	*	DET
1	takle		Pronoun	Type=demonstrative	*	DET
1	takošen		Pronoun	Type=demonstrative	*	DET
1	takov		Pronoun	Type=demonstrative	*	DET
1	takšen		Pronoun	Type=demonstrative	*	DET
1	takšenle	Pronoun	Type=demonstrative	*	DET
1	tale		Pronoun	Type=demonstrative	*	DET
1	talele		Pronoun	Type=demonstrative	*	DET
1	tistile		Pronoun	Type=demonstrative	*	DET
1	tolik		Pronoun	Type=demonstrative	*	DET
1	toliker		Pronoun	Type=demonstrative	*	DET
1	tolikšen	Pronoun	Type=demonstrative	*	DET
1	tolikšnji	Pronoun	Type=demonstrative	*	DET
1	toti		Pronoun	Type=demonstrative	*	DET
1	tvoj		Pronoun	Type=possessive		*	DET
1	vajin		Pronoun	Type=possessive		*	DET
1	vaš		Pronoun	Type=possessive		*	DET
1	vsakateri	Pronoun	Type=general		*	DET
1	vsakogaršen	Pronoun	Type=general		*	DET
1	vsakogaršnji	Pronoun	Type=general		*	DET
1	vsakteri	Pronoun	Type=general		*	DET
1	tisti		Pronoun	Type=demonstrative	*	DET

3	*	Numeral		Form=digit			*	NUM
3	*	Numeral		Form=roman			*	NUM
3	*	Numeral		Form=letter|Type=special	*	NUM
3	*	Numeral		Form=letter|Type=cardinal	*	NUM
2	*	Numeral		Form=letter|Type=ordinal	*	ADJ
1	drug	Numeral		Form=letter|Type=pronominal	*	ADJ	
1	en	Numeral		Form=letter|Type=pronominal	*	NUM
1	*en	Numeral		Form=letter|Type=special	*	ADJ	#enojen, dvojen
1	eden	Numeral		Form=letter|Type=pronominal	*	NUM	#Dodal E.T.

3	*	Adposition	*				*	ADP	#MULTEXT-East name
3	*	Preposition	*				*	ADP	#JOS name

3	*	Conjunction	Type=coordinating		*	CCONJ
3	*	Conjunction	Type=subordinating		*	SCONJ

3	*	Particle	*				*	PART

3	*	Interjection	*				*	INTJ

3	*	Abbreviation	*				*	X

3	*	Residual	*				*	X

3	*	Punctuation	*				*	PUNCT
1	\#	Punctuation	*				*	SYM
1	%	Punctuation	*				*	SYM
1	<	Punctuation	*				*	SYM
1	&	Punctuation	*				*	SYM
1	>	Punctuation	*				*	SYM
1	+	Punctuation	*				*	SYM
1	=	Punctuation	*				*	SYM
1	°	Punctuation	*				*	SYM
1	×	Punctuation	*				*	SYM
1	$	Punctuation	*				*	SYM
1	@	Punctuation	*				*	SYM
1	µ	Punctuation	*				*	SYM
1	©	Punctuation	*				*	SYM
